"","orig.dest","orig","dest","year","orig_code","dest_code","flows","contig","comlang_off","colony","dist","col45","landlocked_orig","landlocked_dest","gdp_pc_dest","gdp_pc_orig","population_dest","population_orig"
"66","BHR_AUS","BHR","AUS",2000,48,36,5,0,0,0,12518.59,0,0,0,36510.1629185009,53193.4404233687,18991434,664610
"67","BHR_AUS","BHR","AUS",2005,48,36,21,0,0,0,12518.59,0,0,0,40542.4981461435,52476.0999574491,20178543,889157
"68","BHR_AUS","BHR","AUS",2010,48,36,44,0,0,0,12518.59,0,0,0,42588.4509885439,46961.3584608541,22154687,1240864
"69","BHR_AUS","BHR","AUS",2015,48,36,88,0,0,0,12518.59,0,0,0,45369.3103353939,51620.9318070373,23932499,1371853
"70","BHR_AUS","BHR","AUS",2020,48,36,80,0,0,0,12518.59,0,0,0,46255.9119868882,49872.8246609197,25499881,1701583
"71","BHS_AUS","BHS","AUS",2000,44,36,0,0,1,0,15278.03,0,0,0,36510.1629185009,34849.5145010269,18991434,298045
"72","BHS_AUS","BHS","AUS",2005,44,36,2,0,1,0,15278.03,0,0,0,40542.4981461435,34212.2223628238,20178543,324848
"73","BHS_AUS","BHS","AUS",2010,44,36,7,0,1,0,15278.03,0,0,0,42588.4509885439,30889.4055700343,22154687,354936
"74","BHS_AUS","BHS","AUS",2015,44,36,15,0,1,0,15278.03,0,0,0,45369.3103353939,29426.6016325825,23932499,374200
"75","BHS_AUS","BHS","AUS",2020,44,36,9,0,1,0,15278.03,0,0,0,46255.9119868882,25496.3736638459,25499881,393248
"76","BIH_AUS","BIH","AUS",2000,70,36,1731,0,0,0,15851.07,0,0,0,36510.1629185009,6432.01086222309,18991434,3751176
"77","BIH_AUS","BIH","AUS",2005,70,36,3907,0,0,0,15851.07,0,0,0,40542.4981461435,7867.87558099649,20178543,3765332
"78","BIH_AUS","BIH","AUS",2010,70,36,783,0,0,0,15851.07,0,0,0,42588.4509885439,9372.98688813673,22154687,3705478
"79","BIH_AUS","BIH","AUS",2015,70,36,587,0,0,0,15851.07,0,0,0,45369.3103353939,10936.04789422,23932499,3429362
"80","BIH_AUS","BIH","AUS",2020,70,36,393,0,0,0,15851.07,0,0,0,46255.9119868882,12358.4919504721,25499881,3280815
"81","BLR_AUS","BLR","AUS",2000,112,36,34,0,0,0,15157.96,0,0,0,36510.1629185009,7319.55656315958,18991434,9871635
"82","BLR_AUS","BLR","AUS",2005,112,36,224,0,0,0,15157.96,0,0,0,40542.4981461435,10858.3750891797,20178543,9562083
"83","BLR_AUS","BLR","AUS",2010,112,36,294,0,0,0,15157.96,0,0,0,42588.4509885439,15685.3365372903,22154687,9420576
"84","BLR_AUS","BLR","AUS",2015,112,36,327,0,0,0,15157.96,0,0,0,45369.3103353939,16579.1914108743,23932499,9439424
"85","BLR_AUS","BLR","AUS",2020,112,36,240,0,0,0,15157.96,0,0,0,46255.9119868882,17372.3193087348,25499881,9449321
"86","BOL_AUS","BOL","AUS",2000,68,36,15,0,0,0,13045.96,0,1,0,36510.1629185009,4360.85253461537,18991434,8418270
