"year","dest","flow_pri_15_34","flow_sec_15_34","flow_ter_15_34","flow_pri_35_64","flow_sec_35_64","flow_ter_35_64","flow_others","flow_total"
2005,"SWE",12459,17586,12565,16605,30988,25105,41558,156866
2005,"TUR",0,0,0,0,0,0,0,0
2005,"USA",359278,479037,361523,479238,638853,721235,393455,3432619
2010,"AUS",25004,94440,115935,55194,121494,153038,190198,755302
2010,"AUT",19322,39605,16790,16118,61824,38290,54402,246352
2010,"BEL",16987,14437,11508,42136,24514,27181,183278,320041
2010,"BGR",0,0,0,0,0,0,0,0
2010,"CAN",40879,84330,137625,53827,122222,305279,193006,937169
2010,"CHE",19924,34102,35825,43203,66153,85449,73880,358535
2010,"CHL",0,0,0,0,0,0,0,0
2010,"CYP",0,0,0,0,0,0,0,0
2010,"CZE",5122,4615,1490,4527,7308,2839,29999,55901
2010,"DEU",30116,148375,250669,125307,361175,249225,280289,1445156
2010,"DNK",7628,5812,5644,5926,13790,12996,51442,103238
2010,"ESP",431432,274122,150851,481924,306887,249130,388730,2283076
2010,"EST",0,0,0,0,0,0,0,0
2010,"FIN",12563,3650,3187,8403,3797,4209,5719,41528
2010,"FRA",54085,49245,45353,119214,75939,73048,98574,515458
2010,"GBR",41941,58088,150428,85587,58346,158829,121181,674400
2010,"GRC",0,0,0,0,0,0,0,0
2010,"HUN",3326,9340,4542,4042,16499,8280,17070,63100
2010,"IRL",1459,2002,1478,3078,4379,4404,5119,21920
2010,"ISL",3242,4417,1961,2147,3616,1934,3085,20402
2010,"ISR",3195,6681,3962,3345,4775,10459,5311,37728
2010,"ITA",244714,215703,43969,245366,265404,62118,127241,1204516
2010,"JPN",81772,200721,99027,44757,72319,103275,255238,857110
2010,"LTU",0,0,0,0,0,0,0,0
2010,"LUX",3494,4094,4426,8872,6374,8713,20649,56621
2010,"LVA",0,0,0,0,0,0,0,0
2010,"MEX",0,0,0,0,0,0,0,0
2010,"MLT",0,0,0,0,0,0,0,0
2010,"NLD",31891,30772,27161,46309,55908,61631,51410,305082
2010,"NOR",21232,15850,17276,17186,23893,27554,57582,180572
2010,"NZL",26317,22134,36378,22272,40960,51451,70477,269990
2010,"POL",3430,5963,4350,1998,7640,7873,34495,65749
2010,"PRT",25203,19035,6516,31680,16404,12585,22227,133650
2010,"ROU",0,0,0,0,0,0,0,0
2010,"RUS",0,0,0,0,0,0,0,0
2010,"SVK",0,0,0,0,0,0,0,0
2010,"SVN",0,0,0,0,0,0,0,0
2010,"SWE",22590,30778,25538,23836,46839,42120,86416,278118
2010,"TUR",0,0,0,0,0,0,0,0
2010,"USA",358731,543191,398709,509745,754004,847891,691275,4103546
2015,"AUS",17731,114074,180855,44702,127059,168097,224886,877405
2015,"AUT",0,0,0,0,0,0,0,0
2015,"BEL",0,0,0,0,0,0,0,0
2015,"BGR",0,0,0,0,0,0,0,0
2015,"CAN",32611,72103,137150,37542,106695,316616,271047,973764
2015,"CHE",0,0,0,0,0,0,0,0
2015,"CHL",0,0,0,0,0,0,0,0
2015,"CYP",0,0,0,0,0,0,0,0
2015,"CZE",0,0,0,0,0,0,0,0
2015,"DEU",0,0,0,0,0,0,2022558,2022558
2015,"DNK",8366,4957,6031,7291,15041,14018,92126,147831
2015,"ESP",31030,17213,14189,32950,26334,7354,112298,241368
2015,"EST",0,0,0,0,0,0,0,0
2015,"FIN",12274,3374,3938,8266,4059,4431,14901,51243
2015,"FRA",47227,44486,52059,105088,68646,68635,149222,535364
2015,"GBR",4814,7350,84674,9287,7952,30431,22692,167200
2015,"GRC",0,0,0,0,0,0,0,0
2015,"HUN",0,0,0,0,0,0,0,0
2015,"IRL",788,1284,726,1860,3586,3436,5362,17041
2015,"ISL",0,0,0,0,0,0,0,0
2015,"ISR",2902,6364,5225,2323,6446,13244,5686,42190
2015,"ITA",44924,76173,80946,45198,74000,7431,62255,390928
2015,"JPN",76454,232250,95527,37774,55813,82119,263191,843129
2015,"LTU",0,0,0,0,0,0,0,0
2015,"LUX",1315,1941,6680,4401,1935,3733,17924,37929
2015,"LVA",0,0,0,0,0,0,0,0
2015,"MEX",0,0,0,0,0,0,0,0
2015,"MLT",0,0,0,0,0,0,0,0
2015,"NLD",0,0,0,0,0,0,0,0
2015,"NOR",0,0,0,0,0,0,199862,199862
2015,"NZL",53272,15857,49548,21543,30210,45794,68127,284351
2015,"POL",450,0,0,46,178,93,7615,8382
2015,"PRT",0,0,0,0,0,0,0,0
2015,"ROU",0,0,0,0,0,0,0,0
2015,"RUS",0,0,0,0,0,0,0,0
2015,"SVK",0,0,0,0,0,0,0,0
2015,"SVN",0,0,0,0,0,0,0,0
2015,"SWE",21818,29926,27441,31235,50964,42447,111684,315514
2015,"TUR",0,0,0,0,0,0,0,0
2015,"USA",246524,415993,322706,396770,677518,774170,894630,3728310
2020,"AUS",10994,106678,219084,30763,100695,146398,183596,798210
2020,"AUT",0,0,0,0,0,0,0,0
2020,"BEL",0,0,0,0,0,0,0,0
2020,"BGR",0,0,0,0,0,0,0,0
2020,"CAN",29105,84120,188383,42515,131655,438714,348098,1262590
2020,"CHE",0,0,0,0,0,0,0,0
2020,"CHL",0,0,0,0,0,0,0,0
2020,"CYP",0,0,0,0,0,0,0,0
2020,"CZE",0,0,0,0,0,0,0,0
2020,"DEU",0,0,0,0,0,0,2261221,2261221
2020,"DNK",7939,4086,7668,7302,16666,17465,108662,169788
2020,"ESP",41868,31800,99439,47475,60066,11418,104133,396198
2020,"EST",0,0,0,0,0,0,0,0
2020,"FIN",16755,4888,6324,11802,6007,6385,19628,71790
2020,"FRA",68563,56218,77494,123081,84593,90390,190984,691322
2020,"GBR",3861,7012,218726,4167,5385,28938,14882,282971
2020,"GRC",0,0,0,0,0,0,0,0
2020,"HUN",0,0,0,0,0,0,0,0
2020,"IRL",1012,1958,847,2673,6984,6375,8992,28841
2020,"ISL",0,0,0,0,0,0,0,0
2020,"ISR",3190,5104,4826,1316,5668,12802,4940,37846
2020,"ITA",12908,34162,232677,15109,28218,1969,14922,339963
2020,"JPN",113356,452918,199225,52582,80490,101872,451378,1451821
2020,"LTU",0,0,0,0,0,0,0,0
2020,"LUX",962,2054,15838,3942,1054,2997,11528,38375
2020,"LVA",0,0,0,0,0,0,0,0
2020,"MEX",0,0,0,0,0,0,0,0
2020,"MLT",0,0,0,0,0,0,0,0
2020,"NLD",0,0,0,0,0,0,0,0
2020,"NOR",0,0,0,0,0,0,156646,156646
2020,"NZL",144850,13931,68335,31397,29589,49545,71722,409369
2020,"POL",821,0,0,20,88,62,6639,7630
2020,"PRT",0,0,0,0,0,0,0,0
2020,"ROU",0,0,0,0,0,0,0,0
2020,"RUS",0,0,0,0,0,0,0,0
2020,"SVK",0,0,0,0,0,0,0,0
2020,"SVN",0,0,0,0,0,0,0,0
2020,"SWE",25762,38391,44728,38220,66519,57679,139582,410882
