"","year","dest","flow_pri_15_34","flow_sec_15_34","flow_ter_15_34","flow_pri_35_64","flow_sec_35_64","flow_ter_35_64","flow_others","flow_total"
"62",2005,"ITA",71727,24454,680,190691,198143,29797,11009,526501
"63",2005,"JPN",123958,260602,163846,94426,176608,199886,281688,1301014
"64",2005,"LTU",0,0,0,0,0,0,0,0
"65",2005,"LUX",1887,976,258,13169,7005,6558,2310,32163
"66",2005,"LVA",0,0,0,0,0,0,0,0
"67",2005,"MEX",0,0,0,0,0,0,0,0
"68",2005,"MLT",0,0,0,0,0,0,0,0
"69",2005,"NLD",0,0,0,0,0,0,0,0
"70",2005,"NOR",0,0,0,0,0,0,108471,108471
"71",2005,"NZL",10360,68729,46772,20378,71567,66659,62909,347374
"72",2005,"POL",166,0,0,2858,3763,697,4991,12475
"73",2005,"PRT",0,0,0,0,0,0,0,0
"74",2005,"ROU",0,0,0,0,0,0,0,0
"75",2005,"RUS",0,0,0,0,0,0,0,0
"76",2005,"SVK",0,0,0,0,0,0,0,0
"77",2005,"SVN",0,0,0,0,0,0,0,0
"78",2005,"SWE",15574,21983,15706,20756,38735,31381,51947,196082
"79",2005,"TUR",0,0,0,0,0,0,0,0
"80",2005,"USA",449097,598796,451904,599048,798566,901544,491819,4290774
"81",2010,"AUS",31255,118050,144919,68992,151867,191298,237747,944128
"82",2010,"AUT",24153,49506,20988,20147,77280,47863,68003,307940
"83",2010,"BEL",21234,18046,14385,52670,30642,33976,229098,400051
"84",2010,"BGR",0,0,0,0,0,0,0,0
"85",2010,"CAN",51099,105412,172031,67284,152778,381599,241258,1171461
"86",2010,"CHE",24905,42627,44781,54004,82691,106811,92350,448169
"87",2010,"CHL",0,0,0,0,0,0,0,0
"88",2010,"CYP",0,0,0,0,0,0,0,0
"89",2010,"CZE",6402,5769,1863,5659,9135,3549,37499,69876
"90",2010,"DEU",37645,185469,313336,156634,451469,311531,350361,1806445
"91",2010,"DNK",9535,7265,7055,7407,17237,16245,64303,129047
"92",2010,"ESP",539290,342652,188564,602405,383609,311413,485912,2853845
"93",2010,"EST",0,0,0,0,0,0,0,0
"94",2010,"FIN",15704,4562,3984,10504,4746,5261,7149,51910
"95",2010,"FRA",67606,61556,56691,149017,94924,91310,123218,644322
"96",2010,"GBR",52426,72610,188035,106984,72933,198536,151476,843000
"97",2010,"GRC",0,0,0,0,0,0,0,0
"98",2010,"HUN",4158,11675,5678,5052,20624,10350,21338,78875
"99",2010,"IRL",1824,2503,1848,3847,5474,5505,6399,27400
"100",2010,"ISL",4052,5521,2451,2684,4520,2418,3856,25502
"101",2010,"ISR",3994,8351,4952,4181,5969,13074,6639,47160
"102",2010,"ITA",305893,269629,54961,306708,331755,77648,159051,1505645
"103",2010,"JPN",102215,250901,123784,55946,90399,129094,319048,1071387
"104",2010,"LTU",0,0,0,0,0,0,0,0
"105",2010,"LUX",4367,5118,5532,11090,7967,10891,25811,70776
"106",2010,"LVA",0,0,0,0,0,0,0,0
"107",2010,"MEX",0,0,0,0,0,0,0,0
"108",2010,"MLT",0,0,0,0,0,0,0,0
"109",2010,"NLD",39864,38465,33951,57886,69885,77039,64263,381353
"110",2010,"NOR",26540,19812,21595,21482,29866,34442,71978,225715
"111",2010,"NZL",32896,27668,45473,27840,51200,64314,88096,337487
"112",2010,"POL",4287,7454,5438,2497,9550,9841,43119,82186
"113",2010,"PRT",31504,23794,8145,39600,20505,15731,27784,167063
"114",2010,"ROU",0,0,0,0,0,0,0,0
"115",2010,"RUS",0,0,0,0,0,0,0,0
"116",2010,"SVK",0,0,0,0,0,0,0,0
"117",2010,"SVN",0,0,0,0,0,0,0,0
"118",2010,"SWE",28238,38473,31923,29795,58549,52650,108020,347648
"119",2010,"TUR",0,0,0,0,0,0,0,0
"120",2010,"USA",448414,678989,498386,637181,942505,1059864,864094,5129433
"121",2015,"AUS",22164,142592,226069,55878,158824,210121,281108,1096756
"122",2015,"AUT",0,0,0,0,0,0,0,0
"123",2015,"BEL",0,0,0,0,0,0,0,0
"124",2015,"BGR",0,0,0,0,0,0,0,0
"125",2015,"CAN",40764,90129,171437,46927,133369,395770,338809,1217205
"126",2015,"CHE",0,0,0,0,0,0,0,0
"127",2015,"CHL",0,0,0,0,0,0,0,0
"128",2015,"CYP",0,0,0,0,0,0,0,0
"129",2015,"CZE",0,0,0,0,0,0,0,0
"130",2015,"DEU",0,0,0,0,0,0,2528197,2528197
"131",2015,"DNK",10458,6196,7539,9114,18801,17523,115158,184789
"132",2015,"ESP",38788,21516,17736,41188,32917,9192,140373,301710
"133",2015,"EST",0,0,0,0,0,0,0,0
"134",2015,"FIN",15342,4217,4923,10333,5074,5539,18626,64054
"135",2015,"FRA",59034,55608,65074,131360,85807,85794,186528,669205
"136",2015,"GBR",6017,9188,105842,11609,9940,38039,28365,209000
"137",2015,"GRC",0,0,0,0,0,0,0,0
"138",2015,"HUN",0,0,0,0,0,0,0,0
"139",2015,"IRL",985,1605,907,2325,4482,4295,6702,21301
"140",2015,"ISL",0,0,0,0,0,0,0,0
"141",2015,"ISR",3628,7955,6531,2904,8057,16555,7108,52738
"142",2015,"ITA",56155,95216,101183,56498,92500,9289,77819,488660
"143",2015,"JPN",95568,290313,119409,47217,69766,102649,328989,1053911
"144",2015,"LTU",0,0,0,0,0,0,0,0
